# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_1000_1250.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_1000_1250.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_1000_1250.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.4305 0.0041 1.0 0.02097888 28383.0423143 0.0016794178179
0.4387 0.0041 2.0 0.02313056 28250.9183142 0.00306063315772
0.4469 0.0041 0.0 0.02178576 28021.7329896 0.0
0.4551 0.0041 1.0 0.02528224 27885.9995647 0.00141839840443
0.4633 0.0041 1.0 0.02313056 27641.583435 0.00156405108868
0.4715 0.0041 2.0 0.0242064 27513.9612481 0.00300294009657
0.4797 0.0041 5.0 0.02447536 27605.4482976 0.00740024523031
0.4879 0.0041 0.0 0.02474432 27631.0224196 0.0
0.4961 0.0041 0.0 0.02635808 27701.3847746 0.0
0.5043 0.0041 1.0 0.02608912 27745.7234554 0.00138147972777
0.5125 0.0041 4.0 0.02635808 27802.9913559 0.00545826597936
0.5207 0.0041 1.0 0.02676152 27758.4026715 0.00134615401758
0.5289 0.0041 2.0 0.02561844 27641.0464543 0.00282437809368
0.5371 0.0041 3.0 0.02844252 27575.8967431 0.00382493041243
0.5453 0.0041 1.0 0.0262236 27468.6446323 0.00138825887122
0.5535 0.0041 1.0 0.0279046 27472.4587727 0.00130444769052
0.5617 0.0041 0.0 0.02965284 27457.3791821 0.0
0.5699 0.0041 2.0 0.02750116 27493.0879734 0.00264518140554
0.5781 0.0041 2.0 0.02985456 27470.8658988 0.00243863595055
0.5863 0.0041 1.0 0.02877872 27520.0291813 0.00126264026932
0.5945 0.0041 1.0 0.0322752 27460.2682653 0.00112830440123
0.6027 0.0041 6.0 0.03119936 27502.0570254 0.00699262738725
0.6109 0.0041 1.0 0.03119936 27441.2652368 0.00116801974145
0.6191 0.0041 1.0 0.03200624 27379.2501966 0.00114115277861
0.6273 0.0041 1.0 0.0322752 27357.1938508 0.00113255554322
0.6355 0.0041 1.0 0.03335104 27305.140499 0.00109811090193
0.6437 0.0041 1.0 0.03200624 27384.2599252 0.00114094401395
0.6519 0.0041 1.0 0.03335104 27378.5124227 0.00109516806457
0.6601 0.0041 0.0 0.0349648 27367.0678419 0.0
0.6683 0.0041 0.0 0.03362 27349.2235982 0.0
0.6765 0.0041 1.0 0.03604064 27184.0940854 0.00102068713512
0.6847 0.0041 1.0 0.03388896 27116.9916546 0.00108817877656
0.6929 0.0041 2.0 0.03604064 26950.5047939 0.00205906756293
0.7011 0.0041 0.0 0.03684752 26946.2735194 0.0
0.7093 0.0041 0.0 0.03657856 26891.9807458 0.0
0.7175 0.0041 1.0 0.03711648 26890.4566181 0.00100192460172
